,maker,group,code,name,model_name,storage,color_name,hidden,storage_hidden,color_hidden,class_hidden,size,display_inch,display_cm,weight,battery,front_camera,back_camera,price,score,summary,pl_launch
0,삼성전자,,SM-T805K,갤럭시 탭 S 10.5,갤럭시 탭 S 10.5,16 GB / 32 GB,,,,,,247.3 x 177.3 x 6.6,10.5,,7900 mAh,갤럭시 탭 S 10.5,1920 x 1080 (2.1 메가픽셀),3264 x 2448 (8 메가픽셀),,,,2014. 11
0,삼성전자,,SM-T805L,갤럭시 탭 S 10.5,갤럭시 탭 S 10.5,16 GB / 32 GB,,,,,,247.3 x 177.3 x 6.6,10.5,,7900 mAh,갤럭시 탭 S 10.5,1920 x 1080 (2.1 메가픽셀),3264 x 2448 (8 메가픽셀),,,,2014. 11
0,삼성전자,,SM-T805S,갤럭시 탭 S 10.5,갤럭시 탭 S 10.5,16 GB / 32 GB,,,,,,247.3 x 177.3 x 6.6,10.5,,7900 mAh,갤럭시 탭 S 10.5,1920 x 1080 (2.1 메가픽셀),3264 x 2448 (8 메가픽셀),,,,2014. 11
0,삼성전자,,SM-T810,갤럭시 탭 S2 9.7,갤럭시 탭 S2 9.7,32 GB / 64 GB,,,,,,237.3 x 169 x 5.6,9.7,,5870 mAh,갤럭시 탭 S2 9.7,1920 x 1080 (2.1 메가픽셀),3264 x 2448 (8 메가픽셀),,,,미출시
0,삼성전자,,SM-T813,갤럭시 탭 S2 9.7,갤럭시 탭 S2 9.7,32 GB / 64 GB,,,,,,237.3 x 169 x 5.6,9.7,,5870 mAh,갤럭시 탭 S2 9.7,1920 x 1080 (2.1 메가픽셀),3264 x 2448 (8 메가픽셀),,,,미출시
0,삼성전자,,SM-T815,갤럭시 탭 S2 9.7,갤럭시 탭 S2 9.7,32 GB / 64 GB,,,,,,237.3 x 169 x 5.6,9.7,,5870 mAh,갤럭시 탭 S2 9.7,1920 x 1080 (2.1 메가픽셀),3264 x 2448 (8 메가픽셀),,,,미출시
0,삼성전자,,SM-T820,갤럭시 탭 S3,갤럭시 탭 S3,32 GB,,,,,,237.3 x 169 x 6,9.7,,6000 mAh,갤럭시 탭 S3,2592 x 1944 (5 메가픽셀),4160 x 3120 (13 메가픽셀),,,,2017. 05
0,삼성전자,,SM-T825,갤럭시 탭 S3,갤럭시 탭 S3,32 GB,,,,,,237.3 x 169 x 6,9.7,,6000 mAh,갤럭시 탭 S3,2592 x 1944 (5 메가픽셀),4160 x 3120 (13 메가픽셀),,,,2017. 05
0,삼성전자,,SM-T825N0,갤럭시 탭 S3,갤럭시 탭 S3,32 GB,,,,,,237.3 x 169 x 6,9.7,,6000 mAh,갤럭시 탭 S3,2592 x 1944 (5 메가픽셀),4160 x 3120 (13 메가픽셀),,,,2017. 05
0,삼성전자,,SM-T830,갤럭시 탭 S4,갤럭시 탭 S4,64 GB / 256 GB,,,,,,249.3 x 164.3 x 7.1,10.5,,7300 mAh,갤럭시 탭 S4,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),,,,2018. 08
0,삼성전자,,SM-T835,갤럭시 탭 S4,갤럭시 탭 S4,64 GB / 256 GB,,,,,,249.3 x 164.3 x 7.1,10.5,,7300 mAh,갤럭시 탭 S4,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),,,,2018. 08
0,삼성전자,,SM-T835N,갤럭시 탭 S4,갤럭시 탭 S4,64 GB / 256 GB,,,,,,249.3 x 164.3 x 7.1,10.5,,7300 mAh,갤럭시 탭 S4,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),,,,2018. 08
0,삼성전자,,SM-T860,갤럭시 탭 S6,갤럭시 탭 S6,256 GB,,,,,,244.5 x 159.5 x 5.7,10.5,,7040 mAh,갤럭시 탭 S6,(0 메가픽셀),4160 x 3120 (13 메가픽셀),,,,2019. 08
0,삼성전자,,SM-T865,갤럭시 탭 S6,갤럭시 탭 S6,256 GB,,,,,,244.5 x 159.5 x 5.7,10.5,,7040 mAh,갤럭시 탭 S6,(0 메가픽셀),4160 x 3120 (13 메가픽셀),,,,2019. 08
0,삼성전자,,SM-T865N,갤럭시 탭 S6,갤럭시 탭 S6,256 GB,,,,,,244.5 x 159.5 x 5.7,10.5,,7040 mAh,갤럭시 탭 S6,(0 메가픽셀),4160 x 3120 (13 메가픽셀),,,,2019. 08
0,삼성전자,,SM-T866N,갤럭시 탭 S6,갤럭시 탭 S6,256 GB,,,,,,244.5 x 159.5 x 5.7,10.5,,7040 mAh,갤럭시 탭 S6,(0 메가픽셀),4160 x 3120 (13 메가픽셀),,,,2019. 08
0,삼성전자,,SM-T870,갤럭시 탭 S7,갤럭시 탭 S7,128 GB / 256 GB / 512 GB,,,,,,253.8 x 165.3 x 6.3,11,,8000 mAh,갤럭시 탭 S7,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),,,,2020. 08
0,삼성전자,,SM-T875,갤럭시 탭 S7,갤럭시 탭 S7,128 GB / 256 GB / 512 GB,,,,,,253.8 x 165.3 x 6.3,11,,8000 mAh,갤럭시 탭 S7,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),,,,2020. 08
0,삼성전자,,SM-T875N,갤럭시 탭 S7,갤럭시 탭 S7,128 GB / 256 GB / 512 GB,,,,,,253.8 x 165.3 x 6.3,11,,8000 mAh,갤럭시 탭 S7,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),,,,2020. 08
0,삼성전자,,SM-T905,갤럭시 탭 프로 12.2,갤럭시 탭 프로 12.2,32 GB / 64 GB,,,,,,295.6 x 203.9 x 7.95,12.2,,9500 mAh,갤럭시 탭 프로 12.2,1920 x 1080 (2.1 메가픽셀),3264 x 2448 (8 메가픽셀),,,,2014.
0,삼성전자,,SM-T970,갤럭시 탭 S7+,갤럭시 탭 S7+,128 GB / 256 GB / 512 GB,,,,,,285 x 185 x 5.7,12.4,,10090 mAh,갤럭시 탭 S7+,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),,,,2020. 08
0,삼성전자,,SM-T975,갤럭시 탭 S7+,갤럭시 탭 S7+,128 GB / 256 GB / 512 GB,,,,,,285 x 185 x 5.7,12.4,,10090 mAh,갤럭시 탭 S7+,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),,,,2020. 08
0,삼성전자,,SM-T975N,갤럭시 탭 S7+,갤럭시 탭 S7+,128 GB / 256 GB / 512 GB,,,,,,285 x 185 x 5.7,12.4,,10090 mAh,갤럭시 탭 S7+,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),,,,2020. 08
0,삼성전자,,SM-W2016,W2016,W2016,64 GB,,,,,,61 x 120.4 x 15.1,3.9,,2000 mAh,W2016,2560 x 1920 (4.9 메가픽셀),5312 x 2988 (15.9 메가픽셀),,,,미출시
0,삼성전자,,SPH-M840,쇼옴니아,쇼옴니아,,,,,,,59.8 x 120.9 x 13.4,3.7,,1500 mAh,쇼옴니아,(0 메가픽셀),(0 메가픽셀),,,,2009. 12
0,VK,,VK700,,,,,,,,,49.5 x 97.8 x 16.7,,,970 mAh,,(0 메가픽셀),(0 메가픽셀),,,,2006. 04
