,pl_id,모델이름,링크제목,나무위키링크
0,211.0,VELVET,벨벳,https://namu.wiki/w/%EB%B2%A8%EB%B2%B3
0,212.0,Q51,Q51,https://namu.wiki/w/Q51
0,213.0,LG Folder 2,LG 폴더2,https://namu.wiki/w/LG%20%ED%8F%B4%EB%8D%942
0,214.0,Q61,Q61,https://namu.wiki/w/Q61
0,215.0,Galaxy A31,갤럭시 A31,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A31
0,216.0,Galaxy A51,갤럭시 A51,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A51
0,217.0,Galaxy A Quantum,갤럭시,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C
0,218.0,Galaxy S20 FE,갤럭시S20,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS20
0,219.0,GalaxyNote20,갤럭시노트20,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EB%85%B8%ED%8A%B820
0,220.0,GalaxyNote20 Ultra  ,갤럭시노트20,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EB%85%B8%ED%8A%B820
0,221.0,LG Q31,LG Q31,https://namu.wiki/w/LG%20Q31
0,222.0,LG Q52,Q52,https://namu.wiki/w/Q52
0,223.0,LG Wing,윙,https://namu.wiki/w/%EC%9C%99
0,224.0,Galaxy A10e,갤럭시 A10e,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A10e
0,,Google Nexus5 16G  ,넥서스5,https://namu.wiki/w/%EB%84%A5%EC%84%9C%EC%8A%A45
0,,Optimus VU  ,옵티머스 뷰,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20%EB%B7%B0
0,,Optimus G  ,옵티머스 G,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20G
0,,Optimus VU2,옵티머스 뷰2,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20%EB%B7%B02
