,maker,code,name,model_name,storage,size,display_inch,display_cm,weight,battery,front_camera,back_camera,pl_external_storage,pl_launch
0,삼성전자,SHW-M250,갤럭시 S2,갤럭시 S2,16 GB / 32 GB,66.1 x 125.3 x 8.5,4.3,,121g,1650 mAh,1600 x 1200 (1.9 메가픽셀),3264 x 2448 (8 메가픽셀),Micro SDHC,2011. 04
0,삼성전자,SHV-E120,갤럭시 S2 HD,갤럭시 S2 HD,,68.8 x 132.65 x 9.5,4.65,,142g,1850 mAh,(0 메가픽셀),(0 메가픽셀),Micro SDHC,2011. 10
0,삼성전자,SHV-E110,갤럭시 S2 LTE,갤럭시 S2 LTE,,68.8 x 129.8 x 9.49,4.5,,135.5g,1850 mAh,(0 메가픽셀),(0 메가픽셀),Micro SDHC,2011. 09
0,삼성전자,SHW-M110,갤럭시 S,갤럭시 S,,64.2 x 122.4 x 9.9,4.0,,121g,1500 mAh,(0 메가픽셀),(0 메가픽셀),Micro SDHC,2010. 06
0,삼성전자,SHW-M190,갤럭시 S 호핀,갤럭시 S 호핀,,64 x 122.4 x 10.9,4.0,,129g,1500 mAh,(0 메가픽셀),(0 메가픽셀),Micro SDHC,2011. 03
0,삼성전자,SM-G720,갤럭시 그랜드 맥스,갤럭시 그랜드 맥스,16 GB,74.8 x 146 x 7.95,,,-,2500 mAh,2560 x 1920 (4.9 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2015. 01
0,삼성전자,SM-G710,갤럭시 그랜드2,갤럭시 그랜드2,8 GB,75.3 x 146.8 x 8.95,5.25,,163g,2600 mAh,(0 메가픽셀),3264 x 2448 (8 메가픽셀),Micro SD,2014. 03
0,삼성전자,SHV-E270,갤럭시 그랜드,갤럭시 그랜드,,76.9 x 143.5 x 9.6,5.0,,162g,-,(0 메가픽셀),(0 메가픽셀),Micro SDHC,2013. 01
0,삼성전자,SM-N971,갤럭시 노트10 5G,갤럭시 노트10 5G,256 GB,71.8 x 151 x 7.9,6.3,,168g,3500 mAh,3648 x 2736 (10 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2019. 08
0,삼성전자,SM-N976,갤럭시 노트10+ 5G,갤럭시 노트10+ 5G,256 GB / 512 GB,77.2 x 162.33 x 7.9,6.8,,196g,4300 mAh,3648 x 2736 (10 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2019. 08
0,삼성전자,SM-N960,갤럭시 노트9,갤럭시 노트9,128 GB / 512 GB,76.4 x 161.9 x 8.8,6.4,,201g,4000 mAh,3264 x 2448 (8 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2018. 08
0,삼성전자,SM-N950,갤럭시 노트8 올림픽에디션,갤럭시 노트8 올림픽에디션,64 GB / 128 GB / 256 GB,74.8 x 162.5 x 8.6,6.3,,195g,3300 mAh,3264 x 2448 (8 메가픽셀),4032 x 3024 (12.2 메가픽셀),미확인,2018. 02
0,삼성전자,SM-N935,갤럭시 노트FE,갤럭시 노트FE,64 GB,73.9 x 153.5 x 7.9,5.7,,167g,3200 mAh,2592 x 1944 (5 메가픽셀),4032 x 3024 (12.2 메가픽셀),Micro SD,2017. 07
0,삼성전자,SM-N930,갤럭시 노트7,갤럭시 노트7,64 GB,73.9 x 153.5 x 7.9,5.7,,169g,3500 mAh,2592 x 1944 (5 메가픽셀),4032 x 3024 (12.2 메가픽셀),Micro SD,2016. 08
0,삼성전자,SM-N920,갤럭시 노트5,갤럭시 노트5,32 GB / 64 GB,76.1 x 153.2 x 7.6,5.7,,171g,3000 mAh,2560 x 1920 (4.9 메가픽셀),5312 x 2988 (15.9 메가픽셀),미확인,2015. 08
0,삼성전자,SM-N910,갤럭시 노트 4,갤럭시 노트 4,32 GB,78.6 x 153.5 x 8.5,5.7,,176g,3220 mAh,2272 x 1696 (3.9 메가픽셀),5312 x 2988 (15.9 메가픽셀),Micro SD,2014. 09
0,삼성전자,SM-N916,갤럭시 노트4 S-LTE,갤럭시 노트4 S-LTE,32 GB,78.6 x 153.5 x 8.5,5.7,,176g,3220 mAh,2272 x 1696 (3.9 메가픽셀),5312 x 2988 (15.9 메가픽셀),Micro SD,2014. 12
0,삼성전자,SM-N915,갤럭시 노트 엣지,갤럭시 노트 엣지,32 GB / 64 GB,82.4 x 151.3 x 8.3,5.6,,174g,3000 mAh,2272 x 1696 (3.9 메가픽셀),5312 x 2988 (15.9 메가픽셀),Micro SD,2014. 10
0,삼성전자,SM-N900,갤럭시 노트3,갤럭시 노트3,16 GB / 32 GB / 64 GB,79.2 x 151.2 x 8.3,5.7,,168g,3200 mAh,1920 x 1080 (2.1 메가픽셀),4128 x 3096 (12.8 메가픽셀),Micro SD,2013. 09
0,삼성전자,SM-N750,갤럭시 노트3 네오,갤럭시 노트3 네오,16 GB,77.4 x 148.4 x 8.6,5.5,,162g,3100 mAh,1920 x 1080 (2.1 메가픽셀),3264 x 2448 (8 메가픽셀),Micro SD,2014. 03
0,삼성전자,SHV-E250,갤럭시 노트2,갤럭시 노트2,16 GB / 32 GB / 64 GB,80.5 x 151.1 x 9.4,5.5,,180g,3100 mAh,(0 메가픽셀),3264 x 2448 (8 메가픽셀),Micro SD,2012. 09
0,삼성전자,SHV-E160,갤럭시 노트 32GB,갤럭시 노트 32GB,16 GB / 32 GB,83 x 146.9 x 9.7,5.3,,178g,2500 mAh,(0 메가픽셀),3264 x 2448 (8 메가픽셀),Micro SDHC,2011. 11
0,삼성전자,SM-G160,갤럭시 폴더2,갤럭시 폴더2,16 GB,60.2 x 122 x 15.4,3.8,,160g,1950 mAh,2592 x 1944 (5 메가픽셀),3264 x 2448 (8 메가픽셀),미확인,2017. 06
0,삼성전자,SM-G610,갤럭시 온7 2016,갤럭시 온7 2016,32 GB,75 x 151.7 x 8,5.5,,167g,3300 mAh,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2016. 11
0,삼성전자,SM-G600,갤럭시 와이드,갤럭시 와이드,8 GB,77.5 x 151.8 x 8.2,5.5,,172g,3000 mAh,2560 x 1920 (4.9 메가픽셀),4128 x 3096 (12.8 메가픽셀),Micro SD,2016. 07
0,삼성전자,SM-J737,갤럭시 와이드3,갤럭시 와이드3,32 GB,76.2 x 153.3 x 8.7,5.5,,180g,3300 mAh,4160 x 3120 (13 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2018. 05
0,삼성전자,SM-G850,갤럭시 알파,갤럭시 알파,32 GB,65.5 x 132.4 x 6.7,4.7,,115g,1860 mAh,(0 메가픽셀),4608 x 2592 (11.9 메가픽셀),미확인,2014. 09
0,삼성전자,SHW-M585,갤럭시 코어,갤럭시 코어,8 GB,67.6 x 129.3 x 8.95,,,124g,1800 mAh,(0 메가픽셀),2592 x 1944 (5 메가픽셀),미확인,2014. 71
0,삼성전자,SHW-M580,코어세이프,코어세이프,,129.3 x 67.6 x 8.95,4.3,,124g,1800 mAh,(0 메가픽셀),(0 메가픽셀),미확인,2014. 03
0,삼성전자,SHW-M570,갤럭시 코어 어드밴스,갤럭시 코어 어드밴스,8 GB,70.5 x 133.3 x 9.7,4.7,,145g,2000 mAh,(0 메가픽셀),2592 x 1944 (5 메가픽셀),미확인,2014. 02
0,삼성전자,SM-T255,갤럭시 W,갤럭시 W,16 GB,99.6 x 191.8 x 8.8,7,,245g,3200 mAh,1600 x 1200 (1.9 메가픽셀),3264 x 2448 (8 메가픽셀),미확인,2014. 06
0,삼성전자,SM-C115,갤럭시 줌2,갤럭시 줌2,8 GB / 16 GB,70.8 x 137.5 x 16.6,4.8,,200g,2430 mAh,1920 x 1080 (2.1 메가픽셀),5248 x 3936 (20.7 메가픽셀),미확인,2014. 05
0,삼성전자,SHV-E500,갤럭시 윈,갤럭시 윈,8 GB,70.7 x 133.3 x 9.7,4.7,,152g,2000 mAh,(0 메가픽셀),2592 x 1944 (5 메가픽셀),Micro SD,2013. 11
0,삼성전자,SM-G910,갤럭시 라운드,갤럭시 라운드,32 GB,79.6 x 151.1 x 7.9,5.7,,154g,2800 mAh,(0 메가픽셀),4128 x 3096 (12.8 메가픽셀),Micro SD,2013. 10
0,삼성전자,SHV-E400,갤럭시 골든,갤럭시 골든,16 GB,59.5 x 118 x 15.8,3.7,,179g,1820 mAh,(0 메가픽셀),3264 x 2448 (8 메가픽셀),Micro SD,2013. 08
0,삼성전자,SHV-E310,갤럭시 메가 6.3,갤럭시 메가 6.3,8 GB / 16 GB,88 x 167.6 x 8,6.3,,199g,3200 mAh,(0 메가픽셀),3264 x 2448 (8 메가픽셀),Micro SD,2013. 06
0,삼성전자,SHV-E220,갤럭시 팝,갤럭시 팝,8 GB / 16 GB,68.1 x 134.2 x 9.05,4.65,,134g,2100 mAh,(0 메가픽셀),3264 x 2448 (8 메가픽셀),Micro SD,2013. 01
0,삼성전자,SHV-E170,갤럭시 R 스타일,갤럭시 R 스타일,8 GB,66 x 125 x 9.5,4.3,,127g,1650 mAh,(0 메가픽셀),2560 x 1920 (4.9 메가픽셀),Micro SDHC,2012. 06
0,삼성전자,SHW-M340,갤럭시 M style,갤럭시 M style,,63 x 122.5 x 9.99,4.0,,123.5g,1650 mAh,(0 메가픽셀),(0 메가픽셀),Micro SDHC,2012. 01
0,삼성전자,SHW-M240,갤럭시에이스,갤럭시에이스,157.696 MB (megabytes),59.9 x 112.4 x 11.5,3.5,,114g,1350 mAh,(0 메가픽셀),2592 x 1944 (5 메가픽셀),Micro SDHC,2011. 01
0,삼성전자,SHW-M130,갤럭시 U,갤럭시 U,,59.6 x 119.5 x 12.4,3.7,,131g,1500 mAh,(0 메가픽셀),(0 메가픽셀),Micro SDHC,2010. 08
0,삼성전자,SM-A202,갤럭시 진2,갤럭시 진2,32 GB,69.7 x 147.4 x 8.4,5.8,,141g,3000 mAh,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),미확인,2019. 06
0,,SM-J415-KA,,,,,,,,,,,,
