pl_id,pl_maker,pl_group,pl_model_code,pl_name,pl_model_name,pl_storage,pl_color_name,pl_hidden,storage_hidden,color_hidden,class_hidden,pl_color_code,pl_launch,pl_size,pl_display_inch,pl_display_cm,pl_weight,pl_battery,pl_front_camera,pl_back_camera,pl_external_storage,pl_review,pl_price,pl_score
37,samsung,a_series,SM-A710,갤럭시 A7 2016,Galaxy A7 2016,16,블랙|핑크 골드|화이트|골드,0,0,0|0|0|0,0|0|0,#000000|#fad8d2|#ffffff|#f1d977,2016.01,74.1 x 151.5 x 7.3,5.5,13.9,172,3300,500만,"1,300만","2 TB, 128 GB",\N,SKT:528000|KT:528000|LG:528000,
38,samsung,a_series,SM-A800,갤럭시 A8,Galaxy A8,32,미드나잇 블랙|펄 화이트|샴페인 골드,0,0,0|0|0,0|0|0,#000000|#ffffff|#fedeb9,2015.07,76.8 x 158 x 5.9,5.7,14.4,151,3050,500만,"1,600만","2 TB, 128 GB",\N,SKT:399300,
39,samsung,a_series,SM-A500,갤럭시 A5,Galaxy A5,16,미드나잇 블랙|펄 화이트|샴페인 골드,0,0,0|0|0,0|0|0,#000000|#ffffff|#fedeb9,2015.01,69.7 x 139.3 x 6.7,5,12.7,123,2300,500만,"1,300만","2 TB, 64 GB",\N,SKT:399300|KT:58080|LG:399300,
40,samsung,a_series,SM-A300,갤럭시 A3,Galaxy A3,16,블랙|블루|골드,0,0,0|0|0,0|0|0,\N,2015.01,\N,\N,\N,\N,\N,\N,\N,\N,\N,SKT:352000|KT:352000|LG:352000,
41,samsung,a_series,SM-A700,갤럭시 A7,Galaxy A7,16,미드나잇 블랙|펄 화이트|샴페인 골드,0,0,0|0|0,0|0|0,#000000|#ffffff|#fedeb9,2015.01,76.2 x 151 x 6.3,5.5,13.9,150,2600,500만,"1,300만","2 TB, 64 GB",\N,SKT:499400|KT:58080|LG:499400,
42,samsung,a_series,SHW-M100,갤럭시 A,Galaxy A,8,블랙,0,0,0,0|0|0,\N,2010.04,\N,\N,\N,\N,\N,\N,\N,\N,\N,SKT:748000,
43,samsung,j_series,SM-J250,갤럭시 J2 Pro,Galaxy J2 Pro,16,블랙|골드,0,0,0|0,0|0|0,#000000|#dedaca,2015.01,69.7 x 139.3 x 6.7,5,12.7,123,2600,500만,800만,"2 TB, 256 GB",\N,SKT:199100|KT:199100|LG:199100,
44,samsung,j_series,SM-J330,갤럭시 J3 2017,Galaxy J3 2017,16,블랙|핑크|블루|골드,0,0,0|0|0|0,0|0|0,#000000|#d9c2c8|#aebdd2|#dedaca,2017.08,70.1 x 140.9 x 8.7,5,12.7,142,2400,500만,"1,300만","2 TB, 256 GB",\N,LG:244200,
45,samsung,j_series,SM-J530,갤럭시 J5 2017,Galaxy J5 2017,32,블랙|핑크|블루|골드,0,0,0|0|0|0,0|0|0,#000000|#d9c2c8|#aebdd2|#dedaca,2017.07,71.3 x 146.2 x 8,5.2,13.22,160,3000,"1,300만","1,300만","2 TB, 256 GB",\N,SKT:297000|KT:297000|LG:297000,
46,samsung,j_series,SM-J730,갤럭시 J7 2017,Galaxy J7 2017,32,블랙|골드,0,0,0|0,0|0|0,#000000|#dedaca,2017.07,74.8 x 152.5 x 8,5.5,13.9,181,3600,"1,300만","1,300만","2 TB, 128 GB",\N,KT:396000,
47,samsung,j_series,SM-J320,갤럭시 J3 2016,Galaxy J3 2016,8,블랙|화이트|골드,0,0,0|0|0,0|0|0,#000000|#FFFFFF|#dedaca,2017.08,70.1 x 140.9 x 8.7,5,12.7,142,2600,500만,800만,"2 TB, 256 GB",\N,SKT:231000|KT:231000|LG:231000,
48,samsung,j_series,SM-J710,갤럭시 J7 2016,Galaxy J7 2016,16,블랙|화이트|골드|핑크,0,0,0|0|0|0,0|0|0,#000000|#FFFFFF|#dedaca|#d9c2c8,2016.04,76 x 151.7 x 7.8,5.5,13.9,170,3300,500만,"1,300만","2 TB, 128 GB",\N,KT:363000,
